Country,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,X
Gambia,612.76,592.79,575.23,608.36,625.98,683.74,713.32,717.07,740.89,710.45,733.73,736.74,710.51,765.65,760.41,723.52,722.46,710.08,711.66,722.92,718.12,710.21,704.21,696.35,670.82,652.34,644.13,653.92,656.15,678.01,695.82,716.77,675.34,702.97,733.02,697.33,675.74,678.72,703.21,731.7,756.31,678.43,697.47,701.28,676.15,688.51,687.24,705.66,736.89,765.83,751.71,765.29,781.36,806.68,834.15,863.97,894.35,925.91,955.87,984.95,1013.95,1043.83,1074.59,1106.26, 
Ghana,1148.25,1171.32,1107.14,1104.78,1150.98,986.92,931.27,931.62,990.18,947.95,936.9,887.37,806.38,720.14,741.05,753.47,760.68,777.64,801.88,823.23,831.62,856.62,871.17,891.2,899.83,920.64,946.85,969.51,996.52,1020.79,1037.96,1057.98,1082.55,1114.47,1151.87,1193.43,1241.8,1267.27,1353.43,1388.37,1465.05,1633.65,1746.02,1833.01,1845.23,1844.63,1867.06,1970.45,2044.11,2125.76,2087.73,2149.99,2185.55,2201.97,2240.86,2296.58,2349.97,2405.21,2459.39,2517.26,2574.02,2632.06,2691.41,2752.1, 
Guinea,539.83,558.74,561.54,560.21,579.12,585.14,620.18,588.61,617.27,598.78,603.2,595.81,595.42,592.07,574.49,572.54,573.4,579.45,602.55,612.91,607.67,582.56,580.97,594.96,600.84,609.5,616.68,643.33,658.47,663.57,665.35,686.07,713.78,703.56,703.07,710.37,704.48,734.67,745.65,718.6,734.03,755.18,779.27,789.11,796.67,805.01,868.22,932.27,963.09,989.18,1009.6,1018.95,1036.84,1055.1,1072.78,1089.91,1106.46,1121.53,1136.8,1152.3,1166.89,1180.52,1194.31,1208.27, 
Guinea-Bissau,587.62,561.68,595.5,594.59,615.12,623.56,608.13,555.04,617.23,618.71,508.42,587.23,597.97,564.43,601.7,612.32,593.39,596.4,609.23,631.97,656.06,675.6,668.4,665.39,670.69,689.02,757.38,790.93,559.69,556.23,574.21,574.49,556.7,547.67,550.4,560.99,560.78,565.59,569.98,575.34,587.98,621.02,596.62,601.98,593.59,615.16,637.99,659.36,667.75,681.32,674.43,690.53,694.84,706.58,715.71,724.94,734.97,739.99,743.59,747.22,750.13,753.05,755.99,758.94, 
Liberia,2032.99,2072.98,2084.03,2099.83,2105.85,1973.15,2014.28,1979.12,2035.94,2073.6,1887.74,1761.39,1739.19,1629.1,1570.33,1491.1,1427.37,1406.94,1400.43,1393.09,346.72,339.6,209.35,135.22,106.56,101.74,111.13,210.71,246.03,282.38,764.14,767.48,780.06,543.92,554.15,558.63,572.16,598.09,617.05,631.32,650.65,674.54,700.91,743.39,730.63,712.34,683.24,683.16,674.16,641.71,623.01,523.96,532.77,540.77,551.6,562.02,572.01,581.48,589.97,598.59,606.76,614.45,622.23,630.12, 
Mali,400.51,401.81,415.89,400.68,385.64,420.64,466.92,486.01,469.29,507.7,476,473.46,429.68,428.52,418.25,492.14,494.36,483.16,507.84,517.07,492.06,537.41,510.25,516.29,525.89,517.69,537.7,548.55,574.5,592.11,576.97,648.43,650.7,690.51,681.53,705.22,716.56,719.66,731.31,742.96,758.37,757.69,731.12,728.76,756.38,778.46,798.76,816.95,829.68,845.99,826.95,832.57,833.38,845.68,855.92,865.67,874.08,881.72,889.44,896.36,902.47,907.74,913.04,918.38, 
Niger,708.31,732.17,679.04,550.74,585.57,556.16,546.93,575.47,638.02,667.92,637.91,626.86,622.09,578.54,469.76,493.91,512.64,500.55,521.9,512.88,492.08,477.34,472.82,460.61,454.19,449.7,436.58,429.06,456.13,440.71,421.46,435.92,440.48,435.11,420.64,433.89,441.95,438.48,454.83,446.09,465.88,459.46,488.93,496.57,509.64,511.81,520.27,526.15,542.69,553.58,552.7,540.28,557.35,607.18,626.35,640.12,666.23,691.29,714.62,735.98,755.87,773.39,791.3,809.63, 
Senegal,1076.28,1042.83,1075.9,986.07,996.9,1046.9,1115.4,1060.79,995.09,1039.34,980.43,1004.51,1056.06,974.6,985.37,991.44,995.56,1028.28,994.87,1003.28,966.62,964.25,950.4,938.36,914.63,939.31,934.04,939.72,970.12,1007.65,1016.11,1035.65,1015.65,1055.2,1087.52,1118.37,1115.74,1140.2,1155.62,1149.37,1159.87,1146.95,1175.36,1178.47,1225.5,1271.82,1320.14,1384.38,1438.29,1479.2,1458.65,1506.61,1536.93,1619.7,1742.66,1784.15,1829.37,1872.29,1910.72,1946.25,1976.72,2001.88,2027.37,2053.19, 
Sierra Leone,625.34,636.89,632.5,636.51,648.12,646.58,631.59,620,622.93,638.62,656.6,662.19,679.85,651.78,664.05,615.1,608.85,638.02,579.07,569.47,565.71,564.76,466.93,490.28,495.44,467.14,484.18,461.21,471.88,463.8,485.11,427.99,510.34,535.52,553.92,565.86,576.35,610.04,629.57,635.83,655.32,681.38,767.33,905.38,925.04,717.58,743.36,756.58,764.26,787.32,751.21,761.84,770.26,777.19,793.2,809.21,824.99,840.33,855.97,871.06,886.43,901.2,916.22,931.49, 
Togo,606.02,588.94,615.98,621.57,633.17,630.22,599.72,623.16,672.19,618.79,687.78,641.98,597.65,545.75,556.19,566.89,556.11,539.76,555.86,558.81,538.93,517.72,481.25,410.7,468.74,478.95,497.68,548.03,519.22,517.05,498.67,488.8,493.72,512.62,493.66,459.4,459.44,440.74,445.52,456.64,471.09,487.56,505.35,521.76,537.83,553.59,568.95,578.54,591.21,606.67,601.72,617.56,634.88,657.85,683.8,713.16,743.52,769.66,797.5,825.56,853.81,883.02,913.23,944.47, 
